Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Sawakin,SD,19.11,37.33,80.38,67,0,5.3,clear sky
248,Srednekolymsk,RU,67.45,153.68,-2.87,92,100,9.33,overcast clouds
249,Luderitz,NA,-26.65,15.16,63.99,62,0,25.57,clear sky
250,Conceicao Do Araguaia,BR,-8.26,-49.26,93.2,44,81,7.05,broken clouds
251,Okha,RU,53.57,142.95,18.95,96,99,17.67,light snow
252,Padang,ID,-0.95,100.35,76.44,83,100,1.88,moderate rain
253,Porto Novo,BJ,6.5,2.6,87.8,70,20,13.87,few clouds
254,Salinopolis,BR,-0.61,-47.36,84.67,69,43,13.85,light rain
255,Oranjestad,AW,12.52,-70.03,86.0,66,40,18.34,scattered clouds
256,Dalvik,IS,65.97,-18.53,32.0,93,75,8.05,broken clouds
257,Loikaw,MM,19.67,97.21,63.88,85,14,2.68,few clouds
258,Thinadhoo,MV,0.53,72.93,82.56,75,0,10.67,clear sky
259,Baykit,RU,61.67,96.37,8.11,92,99,1.86,overcast clouds
260,Solnechnyy,RU,50.72,136.63,14.0,84,0,3.18,clear sky
261,Changji,CN,44.02,87.32,24.8,73,75,2.24,smoke
262,Kiunga,PG,-6.12,141.29,74.03,99,100,2.44,heavy intensity rain
263,Kuzino,RU,57.02,59.44,22.91,87,100,6.13,overcast clouds
264,Shingu,JP,33.73,135.98,52.09,81,1,5.17,clear sky
265,Boende,CD,-0.22,20.87,72.75,88,96,2.59,overcast clouds
266,Naze,JP,28.37,129.48,69.8,73,90,12.75,overcast clouds
267,Tiznit,MA,29.58,-9.5,66.6,40,83,3.87,broken clouds
268,Manitouwadge,CA,49.12,-85.84,19.4,92,90,10.29,overcast clouds
269,Bintulu,MY,3.17,113.03,77.0,94,40,3.36,scattered clouds
270,Isangel,VU,-19.55,169.27,74.48,82,3,8.28,clear sky
271,Jasidih,IN,24.52,86.65,62.76,39,16,2.13,few clouds
272,Uhlove,UA,44.82,33.6,45.73,66,92,12.86,overcast clouds
273,Longyearbyen,SJ,78.22,15.64,28.4,58,75,8.05,broken clouds
274,Kawhia,NZ,-38.07,174.82,60.01,99,100,1.99,moderate rain
275,Caala,AO,-12.85,15.56,65.21,91,100,3.58,moderate rain
276,Punta De Bombon,PE,-17.17,-71.79,67.28,68,88,9.48,overcast clouds
277,Riyadh,SA,24.69,46.72,68.0,34,0,5.82,clear sky
278,Iracoubo,GF,5.48,-53.2,82.62,76,6,11.65,light rain
279,Taoudenni,ML,22.68,-3.98,70.75,23,59,12.53,broken clouds
280,San Cristobal,VE,7.77,-72.22,86.0,66,40,11.41,scattered clouds
281,Tezu,IN,27.92,96.17,62.51,36,0,4.03,clear sky
282,Herat,AF,34.5,62.0,35.6,43,0,2.24,clear sky
283,Kisangani,CD,0.52,25.2,72.36,92,100,2.48,overcast clouds
284,Lodwar,KE,3.12,35.6,89.94,34,56,9.37,broken clouds
285,Havre-Saint-Pierre,CA,50.23,-63.6,23.0,62,90,25.28,light snow
286,Bima,ID,-8.47,118.72,78.73,84,90,3.33,light rain
287,Dzilam Gonzalez,MX,21.28,-88.93,83.43,62,13,5.53,few clouds
288,Vila Velha,BR,-20.33,-40.29,78.01,100,75,9.17,heavy intensity rain
289,Tazmalt,DZ,36.39,4.4,60.8,63,40,4.7,scattered clouds
290,Nishihara,JP,26.18,127.76,71.6,68,75,9.17,broken clouds
291,Inuvik,CA,68.35,-133.72,3.2,77,94,6.93,overcast clouds
292,Cabo San Lucas,MX,22.89,-109.91,82.0,41,75,4.7,broken clouds
293,Chifeng,CN,42.27,118.96,17.02,86,40,6.15,scattered clouds
294,Key Largo,US,25.09,-80.45,80.01,1,17,8.01,few clouds
295,Talnakh,RU,69.49,88.4,15.8,92,75,20.13,light snow
296,Hamilton,US,39.18,-84.53,45.0,65,90,4.7,overcast clouds
297,Port Blair,IN,11.67,92.75,81.59,80,19,10.11,few clouds
298,Vostok,RU,46.49,135.88,10.92,97,80,4.94,broken clouds
299,Marzuq,YE,14.4,46.47,71.55,62,96,3.78,light rain
300,Plettenberg Bay,ZA,-34.05,23.37,59.13,79,61,13.73,light rain
301,Karratha,AU,-20.74,116.85,79.02,66,21,4.97,few clouds
302,Santa Vitoria Do Palmar,BR,-33.52,-53.37,84.96,55,93,9.35,overcast clouds
303,Antalaha,MG,-14.9,50.28,74.57,83,84,8.1,broken clouds
304,Mirabad,AF,30.44,61.84,50.34,38,0,9.86,clear sky
305,Yarim,YE,14.3,44.38,54.25,73,86,9.19,overcast clouds
306,Los Llanos De Aridane,ES,28.66,-17.92,75.2,69,0,4.7,clear sky
307,Sulangan,PH,11.14,123.72,82.38,77,74,22.35,broken clouds
308,Kauhajoki,FI,62.43,22.18,33.01,100,90,1.12,overcast clouds
309,Gizo,SB,-8.1,156.84,82.63,71,83,4.83,light rain
310,Constitucion,CL,-35.33,-72.42,64.38,52,0,15.05,clear sky
311,Havelock,US,34.88,-76.9,55.0,58,0,5.99,clear sky
312,Kalmunai,LK,7.42,81.82,79.25,80,100,16.53,light rain
313,Yumen,CN,40.28,97.2,17.17,79,88,3.06,overcast clouds
314,Kakonko,TZ,-3.28,30.96,67.12,85,79,1.83,broken clouds
315,Grindavik,IS,63.84,-22.43,35.6,80,75,12.75,light rain
316,Alekseyevskoye,RU,55.31,50.11,30.2,100,90,11.18,snow
317,Ulladulla,AU,-35.35,150.47,62.01,100,90,5.82,overcast clouds
318,Kropotkin,RU,45.44,40.58,41.83,90,100,11.32,light rain
319,Lorengau,PG,-2.02,147.27,82.31,67,100,5.1,overcast clouds
320,Pouebo,NC,-20.4,164.57,73.53,80,43,10.74,scattered clouds
321,Tamiahua,MX,21.27,-97.45,76.68,67,0,5.48,clear sky
322,Carolina,PR,18.38,-65.96,87.8,70,40,8.05,scattered clouds
323,Jumla,NP,29.27,82.18,39.27,66,99,4.25,overcast clouds
324,Sabha,LY,27.04,14.43,55.65,49,24,8.37,few clouds
325,Chenghai,CN,23.46,116.77,71.6,73,75,6.71,broken clouds
326,Bahawalpur,PK,29.4,71.68,62.89,48,95,2.08,overcast clouds
327,Salta,AR,-24.79,-65.41,93.2,30,75,7.85,broken clouds
328,Krasnogorsk,RU,55.82,37.32,34.0,98,75,8.95,light rain
329,Inirida,CO,3.87,-67.92,82.17,87,89,3.71,moderate rain
330,Weihai,CN,37.5,122.11,44.42,62,98,6.11,overcast clouds
331,Saint George,US,37.1,-113.58,48.99,48,1,4.7,clear sky
