City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Saint-Joseph,RE,77.0,broken clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
369,Namibe,AO,72.37,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
371,Carutapera,BR,86.04,scattered clouds,-1.2,-46.02,Lidera
373,Kabinda,CD,69.06,overcast clouds,-6.13,24.48,Village Mianda Mutole
374,Elizabeth City,US,52.0,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
376,Le Pradet,FR,55.4,clear sky,43.11,6.02,Hôtel Kyriad Toulon La Garde
378,Springbok,ZA,56.89,clear sky,-29.66,17.89,Undulata Country Lodge
379,Nacogdoches,US,66.0,overcast clouds,31.6,-94.63,The Fredonia Hotel & Convention Center
381,Punta Cardon,VE,85.21,few clouds,11.66,-70.22,Posada Bambuda
384,Nosy Varika,MG,75.24,few clouds,-20.58,48.53,Hotel Volazara
385,Iquique,CL,68.0,scattered clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
386,Kruisfontein,ZA,62.01,few clouds,-34.0,24.73,Oyster Bay House Rental
388,Vila Franca Do Campo,PT,59.0,few clouds,37.72,-25.43,Pestana Bahia Praia
389,Loreto,MX,68.79,clear sky,22.27,-101.97,José de Jesús Velásquez mora
391,Ixtapa,MX,78.8,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
393,Silvania,BR,86.0,broken clouds,-16.66,-48.61,Hotel Dom Bosco
394,Lannion,FR,55.4,overcast clouds,48.75,-3.42,Hotel Arcadia
395,Sao Gabriel Da Cachoeira,BR,82.89,moderate rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
397,Sorong,ID,81.77,moderate rain,-0.88,131.25,The Waigo Hotel
401,Half Moon Bay,US,53.01,overcast clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
402,Ewa Beach,US,75.2,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
405,Mildura,AU,66.2,broken clouds,-34.2,142.15,Mercure Hotel Mildura
410,San Quintin,MX,61.52,clear sky,30.48,-115.95,Old Mill Hotel
411,Port Macquarie,AU,59.0,broken clouds,-31.43,152.92,Rydges Port Macquarie
413,Champerico,GT,86.0,clear sky,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
416,Puerto Colombia,CO,87.8,scattered clouds,10.99,-74.95,Hotel El Emigrante
417,Acapulco,MX,84.2,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
420,Neiafu,TO,73.4,scattered clouds,-18.65,-173.98,Mystic Sands
421,Filiates,GR,60.8,clear sky,39.6,20.31,Το χωριό του Μηνά
423,Port Lincoln,AU,60.82,light rain,-34.73,135.87,Port Lincoln Hotel
424,Coihaique,CL,53.6,broken clouds,-45.58,-72.07,Diego De Almagro Coyhaique
425,Ranong,TH,78.01,clear sky,9.97,98.63,Tinidee Hotel@Ranong
426,Kikwit,CD,74.12,overcast clouds,-5.04,18.82,Centre D'Accueil Protestant
427,Charcas,MX,67.86,clear sky,23.13,-101.12,Hotel El Malacate
429,Mount Isa,AU,87.8,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
430,Mehriz,IR,50.0,few clouds,31.59,54.43,Mehrgard dwelling/سرای مهرگرد
431,Zemio,CF,75.99,scattered clouds,5.03,25.14,OCHA Office
433,Cockburn Town,TC,79.93,light rain,21.46,-71.14,Osprey Beach Hotel
434,Cortes,ES,50.0,overcast clouds,41.94,-1.44,Rincon de bu
437,Narrabri,AU,68.0,clear sky,-30.32,149.78,Crossroads Hotel
438,Atar,MR,81.48,broken clouds,20.52,-13.05,Oumou Elghoura
439,Huarmey,PE,70.79,few clouds,-10.07,-78.15,Hotel Miramar
444,Bartica,GY,84.2,shower rain,6.4,-58.62,La Vista Hotel and Apartment
445,Nouadhibou,MR,84.2,overcast clouds,20.93,-17.03,El Medina
448,Bereda,ES,55.99,broken clouds,43.27,-7.54,Pazo de Verdes
450,Nelson Bay,AU,59.0,scattered clouds,-32.72,152.15,Mantra Nelson Bay
451,Hirara,JP,74.17,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
455,Vao,NC,74.16,clear sky,-22.67,167.48,Hotel Kou-Bugny
456,La Asuncion,VE,82.56,clear sky,11.03,-63.86,Colinas de Matasiete
458,Progreso Industrial,MX,71.01,clear sky,19.63,-99.36,Ex-Seminario Menor Progreso Industrial
461,Sabana Grande De Boya,DO,86.0,scattered clouds,18.95,-69.79,Balcones De Boya
463,Daru,PG,79.03,broken clouds,-9.08,143.21,New century hotel
464,Silver City,US,50.0,scattered clouds,32.77,-108.28,Copper Manor Motel
465,Isla Mujeres,MX,84.2,scattered clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
467,Port Pirie,AU,60.8,scattered clouds,-33.18,138.02,John Pirie Motor Inn
468,Jizan,SA,86.0,few clouds,17.33,42.67,شهدان. ابوالحجر
469,Torbay,CA,53.01,heavy intensity rain,47.67,-52.73,Gallows Cove
471,Balikpapan,ID,77.0,broken clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
472,Bandarbeyla,SO,77.34,clear sky,9.49,50.81,JABIR HOTEL
473,Kavieng,PG,83.1,overcast clouds,-2.57,150.8,Nusa Island Retreat
474,Bani,DO,86.0,scattered clouds,18.28,-70.33,Hospedaje Henriquez
475,Kirakira,SB,78.33,light rain,-10.45,161.92,SanBiz Lodge
476,Rio Linda,US,50.0,clear sky,38.69,-121.45,Lees bed and breakfast
478,Constantine,DZ,55.4,scattered clouds,36.37,6.61,Grand Hotel Cirta
479,Leeton,AU,59.0,clear sky,-34.57,146.4,Historic Hydro Motor Inn
480,Reading,GB,51.01,clear sky,51.46,-0.97,The Roseate Reading
481,Padre Paraiso,BR,71.65,moderate rain,-17.07,-41.48,Pousada Três Irmãos
483,Pimentel,PE,73.4,clear sky,-6.84,-79.93,Casona Del Muelle
487,Srandakan,ID,78.04,overcast clouds,-7.94,110.25,Puri Brata
